game,previous_idx,next_idx,iteration,previous_is_direct_parent,same_P,same_K,info_change
s2kt7,1,4,12,False,False,False,0.2734934326027717
s2kt7,4,23,35,False,False,True,0.6415790830454589
colour_lines,1,5,9,False,False,True,0.21696817619584596
colour_lines,5,9,16,False,False,False,-0.21696817619584596
colour_lines,9,12,19,True,False,True,0.013872046969046758
diffusion,1,2,3,False,False,True,-0.02521868106451608
diffusion,2,3,4,True,True,False,0.0
diffusion,3,7,8,True,True,False,0.0
diffusion,7,18,28,False,False,False,1.1826021692678867
diffusion,18,21,31,False,False,False,-1.2200162317111631
diffusion,21,24,34,False,False,False,-0.1508724927044529
diffusion,24,28,38,True,False,True,0.21726718733507377
dino,1,2,2,False,False,True,0.1479786440372418
dino,2,3,3,False,False,True,0.01777692466987535
dino,3,4,4,True,True,False,0.0
dino,4,8,9,True,False,True,0.11979898119812615
dino,8,16,19,False,False,True,0.1894935717318682
dino,16,18,25,False,False,False,-0.25576891092015586
dq8gc,1,2,3,False,False,True,0.08803247992358576
dq8gc,2,4,8,True,True,False,0.0
dq8gc,4,10,16,False,False,False,0.21058798628504827
dq8gc,10,29,40,False,False,False,0.12283013428676393
egg,1,2,3,False,False,True,0.11411446012924342
egg,2,3,4,True,True,False,0.0
egg,3,5,7,True,False,True,0.06982587781526495
egg,5,8,13,True,False,True,0.5116820438219565
7xf97,1,2,3,False,False,True,-0.008973173604222895
7xf97,2,7,8,False,True,False,0.0
7xf97,7,10,12,True,True,False,0.0
7xf97,10,23,27,False,False,True,0.2364484779386533
bt3gb,1,2,2,False,False,True,0.6411283295366397
bt3gb,2,4,4,False,False,False,0.12794278886702282
bt3gb,4,6,8,True,True,False,0.0
bt3gb,6,8,14,True,False,True,0.18468501057631392
bt3gb,8,10,17,False,False,False,-0.334034808232922
bt3gb,10,12,22,False,False,False,0.4187373518314915
logic_gates,1,2,3,False,False,True,0.24234622669878036
logic_gates,2,3,4,True,True,False,0.0
logic_gates,3,14,17,False,False,False,-1.376102172522904
logic_gates,14,17,20,False,False,False,1.376102172522904
7www9,1,4,4,False,False,False,0.21260833609880136
7www9,4,11,16,False,False,False,0.11528834736555593
7www9,11,14,20,True,True,False,0.0
n2ntd,1,3,4,False,False,False,0.11283899394878771
n2ntd,3,6,7,True,False,True,-0.1848461340904619
n2ntd,6,16,20,False,False,False,-0.06536198135975724
eahcw,1,5,8,False,False,False,0.10138655222723458
eahcw,5,10,16,False,False,False,-0.11481818821543976
eahcw,10,14,20,False,False,False,0.3175550003377413
eahcw,14,28,37,False,False,True,0.07393690873117764
SET,1,2,4,True,True,False,0.0
SET,2,12,19,False,False,False,0.20251536103409284
va6fq,1,2,2,False,False,True,0.0008580653745628997
va6fq,2,7,9,False,False,False,0.10141838914708101
va6fq,7,24,32,False,False,False,0.05436400000316777
f5w3n,1,2,4,True,True,False,0.0
f5w3n,2,5,8,True,True,False,0.0
f5w3n,5,8,12,False,True,False,0.0
f5w3n,8,10,18,True,False,True,0.3492091794933265
f5w3n,10,11,19,False,False,False,-0.27687036236282236
f5w3n,11,12,20,False,False,False,0.27687036236282236
f5w3n,12,14,23,False,False,False,-0.22005933401751165
f5w3n,14,16,25,False,False,False,0.23191403184791048
f5w3n,16,20,30,False,False,False,-0.5948895387638103
